Date,Date.1,IDFC.NS.Open,IDFC.NS.High,IDFC.NS.Low,IDFC.NS.Close,IDFC.NS.Volume,IDFC.NS.Adjusted,log_returns
2013-04-01,2013-04-01,70.318497,70.489403,67.95010400000001,69.488297,8256224.0,61.970173,-0.009095230783915829
2013-04-02,2013-04-02,69.585999,72.027603,69.463898,71.783401,8825571.0,64.01696,0.03249485960986398
2013-04-03,2013-04-03,72.027603,72.760101,69.78130300000001,70.17199699999999,10303399.0,62.579899,-0.02270392394810461
2013-04-04,2013-04-04,69.634804,70.9533,68.560501,70.245201,9690446.0,62.645187,0.0010427304624185396
2013-04-05,2013-04-05,69.830101,70.660301,67.974503,68.829102,9567431.0,61.382294,-0.02036543253710477
2013-04-08,2013-04-08,68.658203,69.585999,68.169899,68.78029599999999,6906598.0,61.338768,-0.0007093485195737159
2013-04-09,2013-04-09,69.439499,71.636902,68.38960300000001,69.244202,14568937.0,61.752487,0.0067221762896929604
2013-04-10,2013-04-10,69.1465,71.172997,68.072197,70.904503,9748143.0,63.23315,0.02369443895324608
2013-04-11,2013-04-11,71.539299,71.563698,69.366203,69.78130300000001,9231671.0,62.231476,-0.015967772190336404
2013-04-12,2013-04-12,68.926804,70.758003,68.829102,70.513802,5416879.0,62.88472,0.010442292153438615
2013-04-15,2013-04-15,69.878998,72.027603,69.512703,71.58809699999998,8487571.0,63.84279300000001,0.015120493267499313
2013-04-16,2013-04-16,71.075401,75.787697,71.075401,75.250504,15526660.0,67.108948,0.049893686106511126
2013-04-17,2013-04-17,75.958603,76.178398,74.64009899999998,75.152901,8276012.0,67.021904,-0.0012978969554158224
2013-04-18,2013-04-18,74.957497,79.279198,74.493599,78.741997,14322294.0,70.222687,0.04665194412397522
2013-04-22,2013-04-22,78.766502,79.2304,76.739899,77.716599,12578937.0,69.308235,-0.013107705154795646
2013-04-23,2013-04-23,77.545601,77.594498,75.2994,76.373703,9419486.0,68.110626,-0.017430494079299308
2013-04-25,2013-04-25,76.910797,78.717598,76.422501,77.545601,13140359.0,69.155731,0.015227696252946288
2013-04-26,2013-04-26,77.643303,77.643303,75.250504,75.909798,9132808.0,67.696907,-0.02132044045768477
2013-04-29,2013-04-29,76.178398,77.032898,74.98200200000002,76.593399,7485064.0,68.306564,0.008965375355404426
2013-04-30,2013-04-30,76.178398,76.569,73.834396,74.689003,10960278.0,66.608192,-0.02517829439109409
2013-05-02,2013-05-02,75.152901,77.643303,75.152901,76.544601,22450020.0,68.263039,0.02454089045174701
2013-05-03,2013-05-03,76.544601,76.739899,73.492599,73.883202,16992840.0,65.889572,-0.03538827420682189
2013-05-06,2013-05-06,74.273903,74.6157,72.32060200000002,73.370499,12549274.0,65.43235,-0.006963404746977986
