Date,Date.1,JUSTDIAL.NS.Open,JUSTDIAL.NS.High,JUSTDIAL.NS.Low,JUSTDIAL.NS.Close,JUSTDIAL.NS.Volume,JUSTDIAL.NS.Adjusted,log_returns
2013-06-06,2013-06-06,597.0,614.900024,589.849976,605.150024,1982995.0,602.9525150000002,-0.011827609693797037
2013-06-07,2013-06-07,603.299988,676.799988,603.0,646.349976,4217874.0,644.002869,0.06586473536400117
2013-06-10,2013-06-10,652.099976,684.400024,626.5,674.900024,1972922.0,672.4492190000002,0.04322341678086872
2013-06-11,2013-06-11,674.5,683.299988,644.0,655.049988,1365020.0,652.6712650000002,-0.02985301799217055
2013-06-12,2013-06-12,648.0,665.0,628.099976,636.0,570462.0,633.6904910000002,-0.029512929158303614
2013-06-13,2013-06-13,635.849976,644.599976,605.150024,628.599976,500264.0,626.317322,-0.011703503872825928
2013-06-14,2013-06-14,634.0,648.25,623.0,628.799988,333721.0,626.5166019999998,0.00031812676502962484
2013-06-17,2013-06-17,630.0,639.950012,625.0,638.400024,240055.0,636.081787,0.01515187739835344
2013-06-18,2013-06-18,640.0,644.450012,626.0,630.400024,203424.0,628.11084,-0.012610503274570915
2013-06-19,2013-06-19,631.0,657.0,630.0,649.25,451906.0,646.892395,0.029463319203682836
2013-06-20,2013-06-20,639.75,651.0,614.5,622.099976,262921.0,619.840942,-0.042717066948930515
2013-06-21,2013-06-21,618.0,635.0,617.0,624.0,202871.0,621.73407,0.003049561160379355
2013-06-24,2013-06-24,625.0,629.0,590.099976,607.950012,297338.0,605.74231,-0.026057796515024382
2013-06-25,2013-06-25,612.900024,627.950012,600.549988,622.200012,141748.0,619.940613,0.02316902335768134
2013-06-26,2013-06-26,625.5,634.799988,609.099976,612.549988,100568.0,610.3256230000002,-0.015631065028378188
2013-06-27,2013-06-27,618.0,636.799988,618.0,629.25,444777.0,626.965027,0.02689813782867745
2013-06-28,2013-06-28,632.049988,652.299988,624.049988,650.150024,258472.0,647.789124,0.032674456695998444
2013-07-01,2013-07-01,636.650024,648.0,632.0,637.25,156411.0,634.935974,-0.020041052001126047
2013-07-02,2013-07-02,640.0,640.5,630.049988,636.549988,160712.0,634.238464,-0.0010991555602446468
2013-07-03,2013-07-03,634.5,639.400024,626.0,635.599976,82629.0,633.29187,-0.0014936039802515564
2013-07-04,2013-07-04,636.5,645.0,636.5,642.150024,71739.0,639.818115,0.01025253472785792
2013-07-05,2013-07-05,646.849976,671.700012,641.0,653.950012,180177.0,651.575256,0.018208961139462687
2013-07-08,2013-07-08,636.5,692.0,636.5,681.0,426983.0,678.527039,0.04053142783357355
2013-07-09,2013-07-09,686.349976,763.349976,685.0,718.099976,2114847.0,715.49231,0.05304652158677392
2013-07-10,2013-07-10,717.900024,727.299988,695.0,705.599976,548167.0,703.03772,-0.01756030507761697
2013-07-11,2013-07-11,709.900024,715.0,671.0,685.75,464258.0,683.259827,-0.028535338697921905
2013-07-12,2013-07-12,694.950012,704.950012,686.0,699.700012,246937.0,697.15918,0.02013855601785597
2013-07-15,2013-07-15,694.0,717.700012,694.0,705.299988,185522.0,702.738831,0.007971552931723025
2013-07-16,2013-07-16,700.0,702.0,690.0,697.299988,50145.0,694.767883,-0.011407507898272941
2013-07-17,2013-07-17,704.0,707.0,667.950012,695.400024,153411.0,692.874817,-0.002728464862625124
2013-07-18,2013-07-18,699.900024,721.799988,692.0,698.799988,206713.0,696.2624509999998,0.004877330402910829
2013-07-19,2013-07-19,699.099976,699.099976,665.150024,682.599976,84571.0,680.121216,-0.0234556329184743
2013-07-22,2013-07-22,675.099976,707.900024,675.099976,684.549988,91773.0,682.064209,0.002852760398184273
