Date,Date.1,HEROMOTOCO.NS.Open,HEROMOTOCO.NS.High,HEROMOTOCO.NS.Low,HEROMOTOCO.NS.Close,HEROMOTOCO.NS.Volume,HEROMOTOCO.NS.Adjusted,log_returns
2013-04-01,2013-04-01,1545.0,1551.25,1525.0,1533.25,275798.0,1332.4157710000004,-0.005690525426824245
2013-04-02,2013-04-02,1532.150024,1538.099976,1518.300049,1532.300049,225802.0,1331.590332,-0.0006196975491050694
2013-04-03,2013-04-03,1532.550049,1542.599976,1487.849976,1497.650024,354472.0,1301.478882,-0.022872746826164025
2013-04-04,2013-04-04,1483.300049,1489.0,1450.0,1454.050049,493390.0,1263.5900880000004,-0.029544273767125876
2013-04-05,2013-04-05,1446.199951,1488.0,1435.099976,1481.400024,399161.0,1287.357422,0.01863466156891569
2013-04-08,2013-04-08,1482.75,1497.949951,1466.300049,1480.099976,439179.0,1286.227661,-0.0008779667554295045
2013-04-09,2013-04-09,1484.949951,1505.449951,1463.0,1465.099976,298280.0,1273.192505,-0.010186110807596016
2013-04-10,2013-04-10,1470.5,1478.0,1448.300049,1464.449951,1423609.0,1272.627441,-0.0004439151403197173
2013-04-11,2013-04-11,1464.099976,1467.800049,1440.099976,1455.099976,429465.0,1264.502441,-0.006404896992791009
2013-04-12,2013-04-12,1449.5,1464.0,1444.0,1455.349976,334147.0,1264.719482,0.00017162669559223076
2013-04-15,2013-04-15,1451.0,1459.150024,1435.0,1438.599976,224062.0,1250.163574,-0.011575942275996455
2013-04-16,2013-04-16,1438.599976,1499.0,1438.599976,1488.349976,381669.0,1293.397095,0.033997762056695364
2013-04-17,2013-04-17,1500.400024,1505.0,1473.699951,1491.300049,301744.0,1295.960449,0.001979915707907232
2013-04-18,2013-04-18,1500.0,1520.0,1450.550049,1505.0,480684.0,1307.865967,0.009144696354390192
2013-04-22,2013-04-22,1510.0,1542.0,1502.849976,1532.300049,299816.0,1331.590332,0.017977190181921898
2013-04-23,2013-04-23,1525.0,1579.5,1523.0,1573.599976,245274.0,1367.480225,0.026595828260938426
2013-04-25,2013-04-25,1580.900024,1648.0,1560.5,1617.75,373940.0,1405.84729,0.02767037988812948
2013-04-26,2013-04-26,1576.099976,1645.0,1576.099976,1596.849976,485675.0,1387.684937,-0.013003328718539821
2013-04-29,2013-04-29,1650.0,1683.8499760000002,1633.099976,1648.800049,805566.0,1432.830322,0.032014888614338766
2013-04-30,2013-04-30,1650.199951,1659.949951,1630.0,1644.449951,329076.0,1429.050049,-0.0026418121713991387
2013-05-02,2013-05-02,1644.949951,1672.0,1611.0,1613.849976,472417.0,1402.458252,-0.01878333100052032
2013-05-03,2013-05-03,1613.849976,1624.449951,1587.150024,1611.400024,203386.0,1400.329102,-0.0015193092736920375
2013-05-06,2013-05-06,1612.0,1658.199951,1608.650024,1649.400024,210606.0,1433.351685,0.023308255584753468
2013-05-07,2013-05-07,1656.0,1714.0,1655.099976,1706.3499760000002,286468.0,1482.842041,0.03394500689602964
2013-05-08,2013-05-08,1709.0,1714.8499760000002,1671.0,1676.349976,262626.0,1456.771606,-0.01773778575699847
2013-05-09,2013-05-09,1675.0,1700.0,1670.349976,1676.099976,134890.0,1456.554321,-0.0001491662833803531
2013-05-10,2013-05-10,1680.0,1724.5,1675.400024,1704.949951,395698.0,1481.625366,0.017066113150100648
2013-05-13,2013-05-13,1713.699951,1716.0,1672.650024,1678.8499760000002,125972.0,1458.944214,-0.015426672411853913
2013-05-14,2013-05-14,1682.0,1692.8499760000002,1661.0,1674.5,189703.0,1455.164185,-0.002594296850029209
2013-05-15,2013-05-15,1690.0,1716.0999760000002,1685.0,1703.8499760000002,418851.0,1480.669556,0.017375651993794428
2013-05-16,2013-05-16,1702.25,1716.75,1680.0999760000002,1693.949951,369881.0,1472.066406,-0.005827256114604218
2013-05-17,2013-05-17,1693.0,1702.8499760000002,1677.0,1684.4000239999998,238138.0,1463.766968,-0.0056539040548040384
2013-05-20,2013-05-20,1689.0,1710.0,1684.550049,1701.699951,235466.0,1478.801147,0.010218495702858377
2013-05-21,2013-05-21,1701.6500239999998,1706.800049,1676.550049,1683.800049,400275.0,1463.2459720000004,-0.010574487299876978
2013-05-22,2013-05-22,1685.0999760000002,1687.9000239999998,1644.099976,1650.349976,188233.0,1434.177368,-0.020065814293132256
2013-05-23,2013-05-23,1645.0,1659.800049,1614.75,1651.650024,289683.0,1435.307007,0.0007873463735847963
2013-05-24,2013-05-24,1662.0,1670.0,1630.050049,1633.349976,388168.0,1419.404053,-0.011141665952961509
2013-05-27,2013-05-27,1630.0,1669.25,1613.400024,1654.349976,219140.0,1437.65332,0.012775042856636
2013-05-28,2013-05-28,1669.0,1771.699951,1660.5,1750.0,528689.0,1520.774536,0.05620762283968261
2013-05-29,2013-05-29,1761.25,1795.5999760000002,1742.5999760000002,1788.699951,571987.0,1554.405273,0.0218732431481925
