Date,Date.1,CIPLA.NS.Open,CIPLA.NS.High,CIPLA.NS.Low,CIPLA.NS.Close,CIPLA.NS.Volume,CIPLA.NS.Adjusted,log_returns
2013-04-01,2013-04-01,383.75,390.0,379.649994,384.600006,1254854.0,377.203705,0.01269081521529003
2013-04-02,2013-04-02,387.5,393.5,386.0,392.049988,1219812.0,384.510406,0.01918547921213776
2013-04-03,2013-04-03,392.700012,398.700012,386.850006,389.299988,1640608.0,381.813293,-0.007039124955100284
2013-04-04,2013-04-04,386.049988,392.0,382.0,383.399994,1236015.0,376.026764,-0.01527140563577589
2013-04-05,2013-04-05,383.5,390.25,382.0,386.850006,786302.0,379.410431,0.008958228825903802
2013-04-08,2013-04-08,387.450012,396.850006,387.0,395.0,742653.0,387.403687,0.02084871768876617
2013-04-09,2013-04-09,397.350006,401.0,388.850006,390.899994,1128997.0,383.382507,-0.010434064629834872
2013-04-10,2013-04-10,396.700012,400.549988,391.549988,399.0,1191028.0,391.326752,0.02050969026874938
2013-04-11,2013-04-11,403.0,407.0,399.149994,405.75,1652950.0,397.94693,0.016775760823792396
2013-04-12,2013-04-12,406.0,410.549988,403.700012,405.549988,1277480.0,397.750793,-0.0004929937545448126
2013-04-15,2013-04-15,405.0,409.350006,396.100006,396.950012,1218350.0,389.316162,-0.021433891635176398
2013-04-16,2013-04-16,396.950012,402.0,394.5,399.950012,1184653.0,392.258484,0.00752925114695735
2013-04-17,2013-04-17,400.0,403.149994,395.0,401.350006,1568351.0,393.631561,0.003494326988560559
2013-04-18,2013-04-18,399.100006,403.399994,396.100006,401.149994,1271094.0,393.435425,-0.0004983972331427111
2013-04-22,2013-04-22,401.5,404.600006,396.0,397.25,735850.0,389.610382,-0.009769730940478285
2013-04-23,2013-04-23,397.0,397.5,392.100006,396.0,598218.0,388.38446,-0.003151493939199668
2013-04-25,2013-04-25,398.049988,409.350006,396.5,407.0,1646543.0,399.172882,0.02739888595010509
2013-04-26,2013-04-26,408.0,412.399994,406.100006,409.850006,1064859.0,401.968079,0.006978068725422837
2013-04-29,2013-04-29,410.850006,413.850006,405.100006,407.5,919198.0,399.6633,-0.005750237356083154
2013-04-30,2013-04-30,410.549988,412.600006,404.200012,405.299988,964246.0,397.505585,-0.005413458327372389
2013-05-02,2013-05-02,407.049988,413.25,405.799988,409.049988,1002488.0,401.183441,0.009209797246888307
2013-05-03,2013-05-03,410.950012,411.100006,399.049988,400.649994,989546.0,392.945038,-0.020749031885338283
2013-05-06,2013-05-06,401.0,406.149994,401.0,405.049988,566516.0,397.260376,0.010922174976076171
2013-05-07,2013-05-07,406.0,409.700012,403.0,408.049988,906339.0,400.202667,0.0073791616475702435
2013-05-08,2013-05-08,409.850006,412.0,404.5,406.049988,1202178.0,398.24115,-0.004913359974325182
2013-05-09,2013-05-09,405.0,407.799988,398.700012,400.049988,1077931.0,392.356537,-0.014886766741945225
2013-05-10,2013-05-10,397.850006,398.950012,394.149994,397.549988,1025051.0,389.904633,-0.006268781127134915
2013-05-13,2013-05-13,400.049988,406.399994,394.0,395.049988,1078667.0,387.452698,-0.006308406787065124
2013-05-14,2013-05-14,396.25,400.5,392.25,398.649994,480898.0,390.98349,0.009071562365051022
2013-05-15,2013-05-15,398.399994,412.899994,397.600006,411.100006,1604567.0,403.194061,0.03075265295605334
