Date,Date.1,MUTHOOTFIN.NS.Open,MUTHOOTFIN.NS.High,MUTHOOTFIN.NS.Low,MUTHOOTFIN.NS.Close,MUTHOOTFIN.NS.Volume,MUTHOOTFIN.NS.Adjusted,log_returns
2013-04-01,2013-04-01,182.649994,186.0,178.050003,180.199997,154086.0,149.178085,-0.018692443230443168
2013-04-02,2013-04-02,178.0,183.050003,178.0,179.949997,119458.0,148.971146,-0.0013881574172547315
2013-04-03,2013-04-03,177.949997,188.0,174.550003,177.600006,280906.0,147.025711,-0.013145159939383257
2013-04-04,2013-04-04,174.0,180.0,171.050003,177.600006,146626.0,147.025711,0.0
2013-04-05,2013-04-05,175.0,182.0,175.0,178.199997,189864.0,147.52243,0.003372755768762836
2013-04-08,2013-04-08,177.0,179.600006,163.899994,164.649994,250873.0,136.30508400000002,-0.0790845939351259
2013-04-09,2013-04-09,164.949997,168.5,159.100006,160.75,824148.0,133.076523,-0.02397131441283662
2013-04-10,2013-04-10,160.0,164.100006,157.0,158.949997,545401.0,131.586365,-0.011260919566489669
2013-04-11,2013-04-11,160.699997,161.800003,153.800003,155.300003,146158.0,128.56471299999998,-0.023231023418272656
2013-04-12,2013-04-12,155.0,155.050003,149.350006,150.649994,264928.0,124.715225,-0.03039944242612513
2013-04-15,2013-04-15,144.350006,168.0,121.300003,132.25,4654407.0,109.482811,-0.13026537849109945
2013-04-16,2013-04-16,124.25,126.0,114.0,118.25,4983660.0,97.892967,-0.11189285142027927
2013-04-17,2013-04-17,120.0,129.399994,119.449997,120.449997,4164335.0,99.714226,0.0184336465078907
2013-04-18,2013-04-18,120.400002,123.199997,115.5,119.099998,4064888.0,98.596626,-0.011271312896845131
2013-04-22,2013-04-22,123.400002,129.0,120.5,127.650002,1554093.0,105.674736,0.0693288062678743
2013-04-23,2013-04-23,130.899994,132.850006,128.0,129.600006,1370175.0,107.289032,0.015160578107838775
2013-04-25,2013-04-25,130.0,133.899994,129.350006,129.699997,909381.0,107.371811,0.0007712538807398418
2013-04-26,2013-04-26,131.899994,134.300003,130.0,130.449997,783672.0,107.992714,0.005766081672908818
2013-04-29,2013-04-29,131.399994,131.899994,129.649994,129.949997,236749.0,107.578781,-0.003840336207064255
2013-04-30,2013-04-30,131.300003,133.399994,130.0,131.5,518347.0,108.861938,0.01185702985146797
2013-05-02,2013-05-02,130.0,135.699997,129.0,133.899994,613284.0,110.84877,0.018086384395048505
2013-05-03,2013-05-03,133.100006,135.25,133.100006,134.5,360448.0,111.345467,0.004470843475113284
2013-05-06,2013-05-06,135.0,143.5,133.100006,137.300003,513256.0,113.663452,0.020604223290456858
2013-05-07,2013-05-07,137.300003,140.199997,136.25,137.350006,256020.0,113.704857,0.0003642108316661563
2013-05-08,2013-05-08,137.5,140.550003,137.350006,139.800003,329010.0,115.733078,0.017680370372236354
2013-05-09,2013-05-09,140.949997,144.300003,139.600006,143.199997,678184.0,118.54776,0.024029429457428364
2013-05-10,2013-05-10,143.899994,152.300003,143.899994,149.600006,988246.0,123.84597,0.04372269869193879
2013-05-13,2013-05-13,157.649994,163.0,156.25,157.949997,1087657.0,130.758499,0.05431348670072467
2013-05-14,2013-05-14,159.0,162.5,146.600006,149.899994,1330228.0,124.094322,-0.05231016500536079
2013-05-15,2013-05-15,149.0,161.0,149.0,159.699997,636222.0,132.207245,0.06332879150504489
2013-05-16,2013-05-16,158.0,162.0,155.149994,158.300003,833011.0,131.048264,-0.008805046414900984
2013-05-17,2013-05-17,155.5,159.0,155.0,157.899994,533755.0,130.717102,-0.002530221486026996
2013-05-20,2013-05-20,156.300003,158.899994,153.899994,155.399994,523670.0,128.647491,-0.0159594253319586
2013-05-21,2013-05-21,153.5,157.5,153.5,155.949997,382420.0,129.102829,0.003533174846708676
2013-05-22,2013-05-22,154.050003,156.5,146.0,149.050003,411648.0,123.390671,-0.045253701920414
2013-05-23,2013-05-23,148.449997,148.449997,142.25,143.100006,149771.0,118.464989,-0.04073804349363108
2013-05-24,2013-05-24,145.050003,147.300003,142.600006,144.949997,183201.0,119.996483,0.012844968575208782
2013-05-27,2013-05-27,145.550003,147.899994,145.0,146.850006,59417.0,121.56942,0.013023023623230046
2013-05-28,2013-05-28,146.149994,146.5,143.0,144.199997,122487.0,119.375618,-0.018210481891600242
2013-05-29,2013-05-29,144.399994,146.5,141.699997,145.550003,111375.0,120.493195,0.009318302556157398
2013-05-30,2013-05-30,144.0,145.350006,142.0,143.199997,114196.0,118.54776,-0.016277360955120557
2013-05-31,2013-05-31,143.600006,144.899994,136.0,138.649994,103783.0,114.781052,-0.03228949935384762
2013-06-03,2013-06-03,140.0,140.0,130.550003,131.75,172454.0,109.068893,-0.051046689554199005
2013-06-04,2013-06-04,131.0,136.75,130.5,134.550003,101490.0,111.386856,0.021029602860065392
2013-06-05,2013-06-05,134.0,136.0,132.25,135.25,65331.0,111.966377,0.005189289563402255
2013-06-06,2013-06-06,136.399994,143.699997,135.199997,142.199997,458670.0,117.71991,0.05010953797168316
2013-06-07,2013-06-07,142.600006,146.399994,140.0,142.199997,266061.0,117.71991,0.0
2013-06-10,2013-06-10,142.25,144.25,133.25,134.25,203366.0,111.138512,-0.0575308795958227
2013-06-11,2013-06-11,133.050003,135.550003,132.0,132.800003,105507.0,109.938156,-0.010859289736468549
2013-06-12,2013-06-12,131.600006,133.899994,129.0,131.449997,264589.0,108.820541,-0.010217876948683369
2013-06-13,2013-06-13,131.399994,131.899994,125.099998,125.849998,121066.0,104.184608,-0.043535710080718985
2013-06-14,2013-06-14,127.0,129.0,122.550003,123.050003,158571.0,101.866646,-0.022499836732637668
2013-06-17,2013-06-17,125.5,125.800003,121.099998,124.150002,128025.0,102.77726,0.00889955658102348
2013-06-18,2013-06-18,124.599998,124.699997,122.650002,123.199997,98196.0,101.990814,-0.007681371920475576
2013-06-19,2013-06-19,122.5,123.849998,120.199997,120.599998,151383.0,99.838417,-0.021329701278371967
2013-06-20,2013-06-20,120.0,120.099998,117.5,118.400002,427913.0,98.017143,-0.018410657183048684
2013-06-21,2013-06-21,114.099998,119.699997,111.900002,112.849998,2767608.0,93.422592,-0.0480091915899834
2013-06-24,2013-06-24,112.5,113.050003,105.0,105.900002,231988.0,87.66905200000002,-0.06356424808882988
2013-06-25,2013-06-25,105.400002,106.0,87.800003,91.599998,1737556.0,75.830833,-0.1450639745142137
2013-06-26,2013-06-26,93.800003,104.400002,87.199997,98.349998,2164905.0,81.418808,0.07110132507935152
2013-06-27,2013-06-27,99.0,103.5,98.5,101.599998,885948.0,84.109299,0.03251082878540945
2013-06-28,2013-06-28,102.099998,105.0,95.0,103.0,1131726.0,85.26828,0.013685389714172658
2013-07-01,2013-07-01,103.449997,110.400002,102.199997,106.650002,1003886.0,88.289932,0.034823559394356884
2013-07-02,2013-07-02,107.0,110.0,103.0,104.0,513452.0,86.096138,-0.02516152511634484
2013-07-03,2013-07-03,102.849998,102.949997,96.300003,97.400002,388246.0,80.632339,-0.06556475827782204
2013-07-04,2013-07-04,97.0,100.849998,96.0,97.050003,251978.0,80.34259,-0.0035999309298260225
2013-07-05,2013-07-05,98.0,99.5,95.599998,96.0,204883.0,79.47335799999998,-0.01087802040170871
2013-07-08,2013-07-08,96.0,96.0,92.099998,92.650002,175620.0,76.700066,-0.035519277130066314
2013-07-09,2013-07-09,93.099998,97.0,93.099998,94.5,228585.0,78.231575,0.01977076956737367
2013-07-10,2013-07-10,95.0,95.599998,93.099998,93.699997,105947.0,77.569305,-0.008501543622357666
2013-07-11,2013-07-11,95.0,97.150002,94.5,96.300003,363167.0,79.72171,0.027370150376514246
2013-07-12,2013-07-12,95.0,97.849998,94.5,95.349998,122386.0,78.935272,-0.009913770338867424
2013-07-15,2013-07-15,96.699997,103.449997,96.050003,101.849998,860795.0,84.31624599999998,0.06594638807816366
2013-07-16,2013-07-16,100.949997,104.900002,99.349998,103.449997,879950.0,85.640823,0.015587510741531753
2013-07-17,2013-07-17,104.449997,105.449997,97.349998,99.099998,248345.0,82.03968,-0.042959041010386834
2013-07-18,2013-07-18,101.0,101.0,97.550003,99.800003,249958.0,82.619179,0.007038812197752264
2013-07-19,2013-07-19,100.25,102.199997,96.099998,97.099998,434621.0,80.383972,-0.02742704178040789
2013-07-22,2013-07-22,97.0,99.699997,97.0,97.900002,200042.0,81.046257,0.008205262668174562
2013-07-23,2013-07-23,99.0,100.75,95.75,96.949997,814410.0,80.259804,-0.009751142973272842
2013-07-24,2013-07-24,96.0,98.25,94.349998,95.0,698619.0,78.6455,-0.020318510416839075
2013-07-25,2013-07-25,95.599998,104.0,88.650002,91.300003,5156819.0,75.582474,-0.03972598144265493
2013-07-26,2013-07-26,92.5,92.949997,86.099998,86.650002,1426345.0,71.732979,-0.052273830896758966
2013-07-29,2013-07-29,87.0,87.800003,80.0,81.449997,636816.0,67.428169,-0.06188773172414841
2013-07-30,2013-07-30,81.0,82.449997,76.599998,77.300003,763776.0,63.992615,-0.052295182215432064
2013-07-31,2013-07-31,77.0,78.0,73.400002,76.300003,1054598.0,63.164768,-0.013021008721535663
2013-08-01,2013-08-01,77.5,80.599998,75.0,75.650002,593815.0,62.626663,-0.008555563412452116
2013-08-02,2013-08-02,75.0,79.5,72.599998,76.150002,261608.0,63.040588,0.006587658974617661
2013-08-05,2013-08-05,76.199997,77.449997,74.25,76.599998,183109.0,63.413105,0.005891770635702009
2013-08-06,2013-08-06,76.5,76.5,73.300003,74.949997,236818.0,62.047161,-0.02177578637375444
2013-08-07,2013-08-07,74.5,77.900002,74.0,76.650002,584998.0,63.454506,0.02242845100806523
2013-08-08,2013-08-08,77.050003,81.900002,76.300003,79.650002,262461.0,65.93804899999999,0.0383924415147705
2013-08-12,2013-08-12,83.949997,95.550003,81.5,95.550003,1062287.0,79.10083,0.18200771806325824
2013-08-13,2013-08-13,98.800003,106.349998,98.199997,99.949997,1919199.0,82.74335500000002,0.04502034115264841
2013-08-14,2013-08-14,101.050003,102.449997,95.550003,98.599998,520977.0,81.625763,-0.013598773738734415
2013-08-16,2013-08-16,98.099998,99.5,94.599998,95.099998,318129.0,78.728287,-0.0361424161263475
2013-08-19,2013-08-19,97.949997,111.0,97.5,102.650002,1025122.0,84.978546,0.0763963055791761
2013-08-20,2013-08-20,102.650002,106.900002,100.050003,101.0,524274.0,83.612602,-0.01620457427500277
2013-08-21,2013-08-21,104.0,104.0,97.0,99.199997,350182.0,82.122467,-0.01798261725474859
