Date,Date.1,DLF.NS.Open,DLF.NS.High,DLF.NS.Low,DLF.NS.Close,DLF.NS.Volume,DLF.NS.Adjusted,log_returns
2013-04-01,2013-04-01,238.0,254.350006,236.600006,253.199997,13591992.0,235.959946,0.0758715764234763
2013-04-02,2013-04-02,253.199997,258.350006,247.75,255.800003,8708890.0,238.382919,0.010216213851886202
2013-04-03,2013-04-03,254.0,257.950012,243.300003,244.850006,9312642.0,228.178482,-0.04375014563094215
2013-04-04,2013-04-04,244.0,244.449997,233.5,235.5,10052693.0,219.465103,-0.03893490268219235
2013-04-05,2013-04-05,236.149994,240.850006,230.0,232.800003,10156851.0,216.948959,-0.011531121929035493
2013-04-08,2013-04-08,234.199997,236.5,231.25,233.5,5808835.0,217.601303,0.00300238912311368
2013-04-09,2013-04-09,236.300003,237.899994,228.449997,230.0,8234412.0,214.3396,-0.015102829926117778
2013-04-10,2013-04-10,232.0,235.800003,228.649994,235.050003,8279407.0,219.045761,0.02171898923727156
2013-04-11,2013-04-11,237.949997,249.600006,237.100006,246.399994,12756317.0,229.622925,0.04715784469546769
2013-04-12,2013-04-12,244.0,249.449997,241.949997,247.399994,6621089.0,230.554855,0.004050309747794857
2013-04-15,2013-04-15,243.0,249.600006,241.0,242.100006,7006219.0,225.615723,-0.021655605425430657
2013-04-16,2013-04-16,242.699997,246.649994,239.300003,245.0,7835314.0,228.318268,0.011907356511009048
2013-04-17,2013-04-17,246.699997,251.800003,242.350006,243.0,7736196.0,226.454453,-0.008196733661369748
2013-04-18,2013-04-18,243.0,249.600006,242.550003,248.399994,5624020.0,231.486771,0.021978892991089797
2013-04-22,2013-04-22,249.699997,253.300003,242.100006,251.050003,8365720.0,233.956329,0.010611742550318048
2013-04-23,2013-04-23,250.0,253.350006,245.100006,246.899994,5779111.0,230.088882,-0.016668791983955874
2013-04-25,2013-04-25,250.0,250.0,241.5,242.449997,6308811.0,225.941895,-0.018187813305358347
2013-04-26,2013-04-26,242.5,247.5,236.300003,237.850006,6932555.0,221.655121,-0.019155199529097718
2013-04-29,2013-04-29,238.899994,243.300003,235.550003,241.699997,4979274.0,225.242966,0.016057003558935357
2013-04-30,2013-04-30,243.0,245.199997,234.600006,238.199997,6095969.0,221.981277,-0.014586627998079747
2013-05-02,2013-05-02,235.100006,241.800003,235.100006,238.850006,6605320.0,222.587006,0.002725022895223361
2013-05-03,2013-05-03,238.0,240.449997,230.050003,231.5,8417685.0,215.737473,-0.03125579766761088
2013-05-06,2013-05-06,230.699997,233.899994,229.100006,232.699997,5925778.0,216.855759,0.005170161751556711
2013-05-07,2013-05-07,233.25,241.0,233.25,239.350006,7234494.0,223.052994,0.02817695702653822
2013-05-08,2013-05-08,241.350006,243.5,234.199997,238.399994,8361847.0,222.167664,-0.0039770444206554964
2013-05-09,2013-05-09,238.0,239.899994,234.100006,234.899994,4767882.0,218.90596,-0.014790108860378124
2013-05-10,2013-05-10,234.899994,238.600006,231.5,237.300003,6179583.0,221.142548,0.010165275958085472
2013-05-13,2013-05-13,233.850006,235.75,230.600006,232.050003,4837031.0,216.250031,-0.022372217995986432
2013-05-14,2013-05-14,232.5,237.5,228.350006,230.25,7677972.0,214.572586,-0.007787211769215929
2013-05-15,2013-05-15,233.100006,243.800003,232.449997,241.75,9361115.0,225.289566,0.04873845738586713
2013-05-16,2013-05-16,242.949997,247.449997,240.75,242.899994,7366115.0,226.361252,0.00474564849034298
2013-05-17,2013-05-17,243.5,250.800003,241.600006,249.649994,6458964.0,232.651642,0.02741005280634212
2013-05-20,2013-05-20,251.0,255.0,247.25,248.050003,7911292.0,231.160599,-0.006429533352927841
2013-05-21,2013-05-21,249.0,250.300003,239.649994,240.850006,7195177.0,224.450851,-0.02945594601392454
2013-05-22,2013-05-22,242.0,242.75,224.550003,227.149994,10215830.0,211.68364,-0.058563860725067585
2013-05-23,2013-05-23,226.0,226.0,208.550003,211.050003,15595605.0,196.679871,-0.07351550933020867
2013-05-24,2013-05-24,212.300003,217.600006,205.600006,211.899994,14089201.0,197.472,0.004019415482869881
2013-05-27,2013-05-27,213.0,216.300003,209.5,215.300003,7708491.0,200.640503,0.015917962280427744
2013-05-28,2013-05-28,215.5,216.899994,212.199997,213.899994,7730957.0,199.335831,-0.00652376911472885
2013-05-29,2013-05-29,214.050003,215.149994,208.5,210.5,6212618.0,196.167313,-0.016023062460229553
2013-05-30,2013-05-30,209.350006,209.350006,202.550003,205.75,19002586.0,191.740753,-0.022823718009912675
2013-05-31,2013-05-31,205.0,205.300003,193.100006,194.699997,12310264.0,181.443115,-0.05520202623232162
