Date,Date.1,NHPC.NS.Open,NHPC.NS.High,NHPC.NS.Low,NHPC.NS.Close,NHPC.NS.Volume,NHPC.NS.Adjusted,log_returns
2013-04-01,2013-04-01,19.85,20.6,19.85,20.450001,3167611.0,15.83011,0.029779128834264586
2013-04-02,2013-04-02,20.25,20.700001,20.25,20.65,3523215.0,15.984922,0.0097320802251879
2013-04-03,2013-04-03,20.9,21.799999,20.65,21.5,23748357.0,16.6429,0.040337796129124026
2013-04-04,2013-04-04,21.35,21.5,20.9,21.200001,10383796.0,16.410673000000006,-0.014051783215068614
2013-04-05,2013-04-05,21.35,21.75,21.35,21.65,8688035.0,16.759012,0.021004227596302272
2013-04-08,2013-04-08,21.5,22.15,21.5,22.0,10785035.0,17.029945,0.016037121638893037
2013-04-09,2013-04-09,22.049999,22.35,21.75,22.0,18465853.0,17.029945,0.0
2013-04-10,2013-04-10,22.0,22.0,21.35,21.85,4182460.0,16.913832,-0.006841516364060053
2013-04-11,2013-04-11,22.0,22.0,21.5,21.6,2532857.0,16.720308,-0.011507720170967684
2013-04-12,2013-04-12,21.5,21.85,21.35,21.799999,5555728.0,16.875126,0.009216674857863259
2013-04-15,2013-04-15,21.75,21.950001,21.6,21.799999,3270065.0,16.875126,0.0
2013-04-16,2013-04-16,21.700001,22.0,21.6,21.9,2842666.0,16.952536,0.004576735756813388
2013-04-17,2013-04-17,22.1,22.200001,21.25,21.299999,5328350.0,16.488083,-0.02777956161461548
2013-04-18,2013-04-18,21.450001,21.85,21.299999,21.799999,2647879.0,16.875126,0.02320282585780209
2013-04-22,2013-04-22,21.799999,21.85,21.450001,21.6,2606713.0,16.720308,-0.009216674857863259
2013-04-23,2013-04-23,21.6,21.799999,21.549999,21.700001,1968001.0,16.797716,0.004618896246376902
2013-04-25,2013-04-25,21.85,21.950001,21.25,21.4,7015244.0,16.565491,-0.013921248664384487
2013-04-26,2013-04-26,21.549999,21.6,21.25,21.299999,1981195.0,16.488083,-0.004683798581931242
2013-04-29,2013-04-29,21.200001,21.4,21.049999,21.299999,2468069.0,16.488083,0.0
2013-04-30,2013-04-30,21.200001,21.75,21.15,21.65,3635430.0,16.759012,0.016298265896073527
2013-05-02,2013-05-02,21.65,21.65,20.9,21.049999,7155673.0,16.294559,-0.028104895028771004
2013-05-03,2013-05-03,21.049999,21.299999,20.85,21.15,2281301.0,16.371969,0.0047394167448113755
2013-05-06,2013-05-06,21.0,21.200001,20.799999,20.85,2249103.0,16.139742000000002,-0.014285987567768553
2013-05-07,2013-05-07,20.85,21.299999,20.799999,21.200001,2809496.0,16.410673000000006,0.016647238255425908
2013-05-08,2013-05-08,21.25,21.299999,20.799999,20.85,2501835.0,16.139742000000002,-0.016647238255425908
2013-05-09,2013-05-09,20.799999,20.9,20.6,20.700001,2155493.0,16.023629999999994,-0.007220169851450907
2013-05-10,2013-05-10,20.75,20.9,20.65,20.700001,1603379.0,16.023629999999994,0.0
2013-05-13,2013-05-13,21.0,21.0,20.299999,20.4,4044727.0,15.791403,-0.014598829707306303
2013-05-14,2013-05-14,20.549999,20.75,20.35,20.4,1555879.0,15.791403,0.0
2013-05-15,2013-05-15,20.450001,20.85,20.450001,20.700001,2282802.0,16.023629999999994,0.014598829707306303
2013-05-16,2013-05-16,20.700001,20.799999,20.450001,20.549999,1788962.0,15.907516,-0.007272805793305359
2013-05-17,2013-05-17,20.549999,21.200001,20.549999,20.85,5727696.0,16.139742000000002,0.01449297564475627
2013-05-20,2013-05-20,20.75,21.1,20.5,20.549999,3211949.0,15.907516,-0.01449297564475627
2013-05-21,2013-05-21,20.65,20.700001,20.200001,20.25,2099986.0,15.675289,-0.01470617858855183
2013-05-22,2013-05-22,20.25,20.299999,19.799999,19.9,4054960.0,15.404359,-0.017435002034629662
2013-05-23,2013-05-23,19.950001,19.950001,19.450001,19.5,4948810.0,15.094725,-0.020305176276101292
2013-05-24,2013-05-24,19.6,19.700001,19.5,19.6,1662190.0,15.172133,0.005115044896508714
2013-05-27,2013-05-27,19.5,19.85,19.450001,19.75,1557059.0,15.288243,0.007623711694719316
2013-05-28,2013-05-28,19.9,20.049999,19.799999,19.950001,2651958.0,15.443064,0.010075868873645531
2013-05-29,2013-05-29,19.9,19.950001,19.200001,19.4,3878971.0,15.017313,-0.027956234979282343
2013-05-30,2013-05-30,19.299999,19.5,19.15,19.35,3048302.0,14.978612,-0.0025804186051545663
2013-05-31,2013-05-31,19.4,19.549999,19.200001,19.25,2290278.0,14.901198999999998,-0.005181637407774886
2013-06-03,2013-06-03,19.15,19.25,18.65,18.85,2794404.0,14.591565,-0.020998057480190457
2013-06-04,2013-06-04,19.0,19.200001,18.85,19.049999,1560000.0,14.746382,0.010554142529820345
2013-06-05,2013-06-05,19.0,19.0,18.75,18.950001,3394660.0,14.668976,-0.0052629771612404674
2013-06-06,2013-06-06,18.85,19.25,18.75,19.049999,3150827.0,14.746382,0.0052629771612404674
2013-06-07,2013-06-07,19.1,19.15,18.85,18.9,3116918.0,14.63027,-0.007905094471461815
2013-06-10,2013-06-10,18.9,19.0,18.0,18.200001,14519392.0,14.088409,-0.037740267518114656
2013-06-11,2013-06-11,18.15,18.65,18.0,18.1,5021230.0,14.011,-0.00550966718350976
2013-06-12,2013-06-12,18.1,18.200001,17.75,17.85,3504640.0,13.817476999999998,-0.01390849522101556
2013-06-13,2013-06-13,17.85,18.1,17.15,17.700001,8895737.0,13.701362,-0.008438996217054129
2013-06-14,2013-06-14,17.799999,18.200001,17.700001,18.049999,4405845.0,13.972293,0.01958105328613602
2013-06-17,2013-06-17,18.0,18.9,17.950001,18.700001,4835143.0,14.475452,0.035377951986527816
2013-06-18,2013-06-18,18.799999,18.9,18.5,18.700001,2858200.0,14.475452,0.0
2013-06-19,2013-06-19,18.75,18.75,18.299999,18.6,4225770.0,14.398046,-0.005361746293502279
2013-06-20,2013-06-20,18.450001,19.0,18.15,18.35,7142441.0,14.204523000000002,-0.013532067913295087
2013-06-21,2013-06-21,18.25,18.5,18.0,18.15,2603911.0,14.049703,-0.010959178250599331
2013-06-24,2013-06-24,18.049999,18.299999,17.700001,18.1,5361774.0,14.011,-0.0027585213771974537
2013-06-25,2013-06-25,18.0,18.1,17.700001,17.85,6582870.0,13.817476999999998,-0.01390849522101556
2013-06-26,2013-06-26,18.0,18.299999,17.700001,18.200001,4386676.0,14.088409,0.01941816240452532
2013-06-27,2013-06-27,18.200001,18.35,17.4,17.75,9492463.0,13.740069,-0.025036093956948943
2013-06-28,2013-06-28,18.0,18.6,17.9,18.450001,5646761.0,14.281932,0.038678933262006776
2013-07-01,2013-07-01,18.450001,18.85,18.4,18.75,1722692.0,14.514155,0.016129138265340792
2013-07-02,2013-07-02,18.6,19.200001,18.549999,18.950001,3086925.0,14.668976,0.010610407257937382
2013-07-03,2013-07-03,18.9,18.950001,18.6,18.85,3648635.0,14.591565,-0.005291165368579875
2013-07-04,2013-07-04,18.9,19.1,18.75,19.0,1655116.0,14.707679,0.007926116311279152
2013-07-05,2013-07-05,19.049999,19.25,18.75,19.049999,2096713.0,14.746382,0.002628026218541191
2013-07-08,2013-07-08,19.0,19.0,18.549999,18.65,3809342.0,14.436749,-0.021220794949133204
