Date,Date.1,NMDC.NS.Open,NMDC.NS.High,NMDC.NS.Low,NMDC.NS.Close,NMDC.NS.Volume,NMDC.NS.Adjusted,log_returns
2013-04-01,2013-04-01,138.0,138.399994,133.699997,135.149994,2095179.0,91.726997,-0.01432510982252033
2013-04-02,2013-04-02,136.0,137.100006,134.199997,136.25,3061174.0,92.473572,0.00810615398369574
2013-04-03,2013-04-03,135.600006,136.350006,129.399994,130.199997,4558891.0,88.367386,-0.04541993066979089
2013-04-04,2013-04-04,129.0,131.5,127.400002,130.550003,3620673.0,88.604935,0.002684590915983165
2013-04-05,2013-04-05,129.149994,131.899994,124.0,124.849998,6469218.0,84.736328,-0.04464314412120896
2013-04-08,2013-04-08,124.900002,125.550003,123.050003,123.849998,2513187.0,84.057632,-0.008041752887248066
2013-04-09,2013-04-09,124.099998,125.699997,121.849998,122.599998,3200893.0,83.209244,-0.010144211401065029
2013-04-10,2013-04-10,123.5,125.199997,122.650002,124.5,2368549.0,84.498772,0.01537855428854673
2013-04-11,2013-04-11,125.300003,126.900002,124.25,125.099998,1862185.0,84.906021,0.0048080078174512755
2013-04-12,2013-04-12,125.0,126.349998,124.5,125.400002,1126938.0,85.109612,0.0023949691416245145
2013-04-15,2013-04-15,125.0,129.149994,124.199997,128.399994,2609618.0,87.145721,0.023641692834235783
2013-04-16,2013-04-16,127.099998,129.399994,126.5,128.550003,2331138.0,87.24754300000002,0.0011677287211080412
2013-04-17,2013-04-17,129.0,129.5,126.599998,127.0,1679965.0,86.195541,-0.01213095243417328
2013-04-18,2013-04-18,127.0,127.849998,122.300003,123.900002,2317315.0,84.091553,-0.024712325811362845
2013-04-22,2013-04-22,125.0,128.850006,123.849998,127.650002,1727238.0,86.636703,0.02981742597000725
2013-04-23,2013-04-23,129.699997,129.850006,127.599998,129.5,1875778.0,87.892303,0.014388687489769403
2013-04-25,2013-04-25,130.5,131.100006,128.050003,128.600006,3894583.0,87.281479,-0.006973948597690516
2013-04-26,2013-04-26,128.649994,129.199997,126.050003,126.550003,1236776.0,85.890121,-0.016069470288309518
2013-04-29,2013-04-29,128.350006,128.350006,123.25,123.550003,3919390.0,83.854004,-0.023991577488696517
2013-04-30,2013-04-30,124.0,126.349998,122.599998,125.75,3225657.0,85.34716,0.01764993486869315
2013-05-02,2013-05-02,125.75,127.800003,125.25,127.150002,2631622.0,86.297348,0.01107169366980987
2013-05-03,2013-05-03,127.0,128.75,125.5,126.5,1738276.0,85.856178,-0.00512532012564204
2013-05-06,2013-05-06,126.099998,130.300003,126.099998,129.949997,1742475.0,88.197723,0.026907598872991656
2013-05-07,2013-05-07,131.100006,131.600006,129.100006,129.949997,2644930.0,88.197723,0.0
2013-05-08,2013-05-08,131.300003,131.300003,127.150002,128.399994,2381877.0,87.145721,-0.011999474846504654
2013-05-09,2013-05-09,128.0,129.0,123.699997,124.5,1978880.0,84.498772,-0.030844669793311574
2013-05-10,2013-05-10,124.199997,127.800003,124.199997,127.199997,1112469.0,86.331284,0.021455033584801164
2013-05-13,2013-05-13,128.949997,128.949997,125.150002,125.650002,1009320.0,85.279297,-0.012260318347791177
2013-05-14,2013-05-14,125.400002,129.350006,124.849998,126.650002,2660715.0,85.958,0.007927087917831699
2013-05-15,2013-05-15,126.800003,129.100006,126.400002,128.350006,1932848.0,87.111809,0.01333364959369554
2013-05-16,2013-05-16,127.599998,128.300003,123.900002,124.550003,2382957.0,84.532715,-0.03005383526224925
2013-05-17,2013-05-17,125.0,125.550003,120.449997,122.349998,4076031.0,83.039558,-0.017821522532057266
2013-05-20,2013-05-20,124.449997,124.449997,121.300003,121.849998,3579869.0,82.700211,-0.004094943250422922
2013-05-21,2013-05-21,121.5,123.5,121.5,122.050003,1566798.0,82.835945,0.0016399321296312053
2013-05-22,2013-05-22,122.599998,123.400002,120.699997,121.150002,1454585.0,82.225121,-0.00740122190064607
2013-05-23,2013-05-23,120.25,121.0,114.650002,116.650002,2810251.0,79.17094399999998,-0.037851500825213165
2013-05-24,2013-05-24,116.699997,117.5,115.0,116.599998,2032860.0,79.13700899999998,-0.0004287213608247242
2013-05-27,2013-05-27,116.0,118.5,116.0,118.050003,1112858.0,80.12114,0.012359097893499538
2013-05-28,2013-05-28,118.0,119.449997,116.949997,117.349998,889423.0,79.646034,-0.00594749708074449
2013-05-29,2013-05-29,117.349998,119.400002,116.199997,116.699997,2411861.0,79.204872,-0.005554430192745485
2013-05-30,2013-05-30,117.5,121.400002,115.5,119.25,5189164.0,80.93557,0.021615593969785074
2013-05-31,2013-05-31,119.800003,120.650002,117.050003,117.599998,1802805.0,79.815712,-0.013933028744093079
2013-06-03,2013-06-03,117.0,118.099998,116.0,117.400002,972700.0,79.67997700000002,-0.0017020526839255368
2013-06-04,2013-06-04,117.199997,118.75,116.0,116.150002,1787400.0,78.83158900000002,-0.01070453245250125
2013-06-05,2013-06-05,117.199997,117.199997,115.349998,115.699997,1371045.0,78.526176,-0.003881770734357913
2013-06-06,2013-06-06,115.199997,116.25,113.75,115.699997,2129228.0,78.526176,0.0
2013-06-07,2013-06-07,114.099998,116.650002,114.099998,115.75,1374663.0,78.560097,0.0004318773356759564
2013-06-10,2013-06-10,116.5,117.150002,115.199997,116.25,1301815.0,78.899445,0.00431029483605716
2013-06-11,2013-06-11,115.050003,116.099998,112.800003,113.900002,1642912.0,77.304497,-0.020422063767430387
2013-06-12,2013-06-12,113.050003,114.300003,111.550003,112.400002,1171617.0,76.286446,-0.013256848219945105
2013-06-13,2013-06-13,111.0,112.5,104.800003,107.0,4882553.0,72.621452,-0.04923492134100282
2013-06-14,2013-06-14,107.150002,110.699997,107.150002,109.650002,1519103.0,74.420006,0.024464443263783053
2013-06-17,2013-06-17,109.650002,110.75,107.599998,108.5,1279368.0,73.639503,-0.010543196249288123
2013-06-18,2013-06-18,108.550003,110.650002,106.800003,107.300003,7718819.0,72.82505,-0.01112161786999888
2013-06-19,2013-06-19,107.300003,108.5,106.400002,106.699997,1368554.0,72.417816,-0.0056076429550016025
2013-06-20,2013-06-20,106.0,106.0,100.199997,103.550003,3355337.0,70.279915,-0.029966292597429774
2013-06-21,2013-06-21,104.0,106.0,102.0,105.099998,3239075.0,71.33189399999998,0.014857494709835885
2013-06-24,2013-06-24,105.050003,105.900002,102.599998,103.050003,2149650.0,69.940559,-0.0196978244117334
2013-06-25,2013-06-25,102.900002,103.25,98.699997,100.349998,3797037.0,68.10805500000001,-0.026550236069309285
2013-06-26,2013-06-26,100.0,101.150002,99.550003,100.150002,2164016.0,67.972313,-0.0019950276004934158
2013-06-27,2013-06-27,100.5,101.5,99.75,100.550003,6935082.0,68.243797,0.003986082989216655
2013-06-28,2013-06-28,101.050003,106.400002,101.050003,105.449997,3217471.0,71.569443,0.0475816656419914
2013-07-01,2013-07-01,106.25,107.0,104.900002,105.599998,1456873.0,71.671257,0.0014215794414047524
2013-07-02,2013-07-02,105.0,106.5,103.0,103.300003,1573847.0,70.110252,-0.022020757007005898
2013-07-03,2013-07-03,102.099998,103.300003,99.5,100.0,1367143.0,67.870506,-0.0324674654467767
2013-07-04,2013-07-04,100.0,102.400002,99.150002,101.050003,1490941.0,68.58313000000001,0.010445020004239858
2013-07-05,2013-07-05,101.550003,104.400002,101.550003,103.949997,1485493.0,70.551384,0.02829470927749433
2013-07-08,2013-07-08,103.25,103.800003,101.0,102.449997,1194263.0,69.533325,-0.014535161347147609
2013-07-09,2013-07-09,102.699997,103.25,102.0,102.949997,916389.0,69.87269599999999,0.0048688237133083226
2013-07-10,2013-07-10,103.0,105.849998,102.949997,104.599998,1541576.0,70.99254599999998,0.015899927849147844
2013-07-11,2013-07-11,105.5,108.400002,105.349998,107.0,1552862.0,72.621452,0.022685474663762584
2013-07-12,2013-07-12,107.199997,108.050003,105.050003,107.099998,1284444.0,72.689301,0.00093384699383936
2013-07-15,2013-07-15,108.0,109.650002,105.699997,108.349998,966526.0,73.537689,0.011603843032541585
2013-07-16,2013-07-16,107.349998,107.699997,106.050003,106.5,710729.0,72.282089,-0.017221683503982458
2013-07-17,2013-07-17,105.599998,107.150002,103.199997,103.849998,1056733.0,70.483521,-0.025197428985750392
2013-07-18,2013-07-18,103.849998,106.0,102.699997,105.449997,1349322.0,71.569443,0.015289271314924413
2013-07-19,2013-07-19,105.5,108.0,105.300003,107.650002,1323123.0,73.062607,0.020648494601036127
2013-07-22,2013-07-22,108.949997,109.449997,107.5,107.849998,1154001.0,73.198334,0.0018559574146346238
2013-07-23,2013-07-23,108.0,110.5,108.0,109.5,1167202.0,74.318207,0.01518330766548015
2013-07-24,2013-07-24,109.050003,110.449997,107.5,108.050003,1151877.0,73.334068,-0.013330692995013216
2013-07-25,2013-07-25,108.099998,108.900002,103.099998,104.199997,3253631.0,70.721062,-0.036281840630928215
