Date,Date.1,MARICO.NS.Open,MARICO.NS.High,MARICO.NS.Low,MARICO.NS.Close,MARICO.NS.Volume,MARICO.NS.Adjusted,log_returns
2013-04-01,2013-04-01,105.643997,107.005997,105.197998,105.817001,41064.0,95.797829,0.0032750868772515322
2013-04-02,2013-04-02,105.124001,109.978996,105.124001,109.161003,617776.0,98.825211,0.031112721343119713
2013-04-03,2013-04-03,109.236,110.919998,107.922997,108.542,157735.0,98.264809,-0.005686777141289845
2013-04-04,2013-04-04,108.987999,108.987999,106.313004,107.724998,94709.0,97.525169,-0.007555478846234642
2013-04-05,2013-04-05,106.511002,109.632004,106.511002,107.799004,141466.0,97.592171,0.0006867867574831267
2013-04-08,2013-04-08,106.511002,109.879997,106.511002,109.137001,261189.0,98.803474,0.012335491041270965
2013-04-09,2013-04-09,108.516998,109.532997,107.799004,108.542,73208.0,98.264809,-0.005466798952519447
2013-04-10,2013-04-10,107.501999,109.408997,107.253998,107.947998,97223.0,97.727051,-0.005487568202846127
2013-04-11,2013-04-11,108.987999,108.987999,107.997002,108.567001,84586.0,98.287437,0.005717817417092874
2013-04-12,2013-04-12,107.551003,109.236,106.313004,106.858002,735402.0,96.740265,-0.015866509648397198
2013-04-15,2013-04-15,106.559998,107.947998,105.073997,105.916,244162.0,95.887451,-0.008854588422534171
2013-04-16,2013-04-16,105.519997,106.931999,105.519997,106.511002,366094.0,96.426117,0.005601969890170365
2013-04-17,2013-04-17,106.610001,107.129997,104.875999,105.742996,224598.0,95.730835,-0.00723663679116715
2013-04-18,2013-04-18,105.916,107.452003,104.627998,105.248001,1520324.0,95.2827,-0.004692189191743522
2013-04-22,2013-04-22,106.460999,106.460999,104.554001,106.114998,211357.0,96.067604,0.008203889785797003
2013-04-23,2013-04-23,106.313004,107.625999,105.296997,106.931999,227118.0,96.807251,0.007669746539106016
2013-04-25,2013-04-25,106.982002,109.978996,106.982002,108.815002,504639.0,98.511963,0.017456094078089457
2013-04-26,2013-04-26,108.889,110.499001,107.081001,108.567001,501811.0,98.287437,-0.0022817762393207985
2013-04-29,2013-04-29,107.501999,111.663002,107.501999,110.547997,282782.0,100.080864,0.01808228287421354
2013-04-30,2013-04-30,112.653999,117.608002,111.142998,111.663002,1056739.0,101.090294,0.01003561824635657
2013-05-02,2013-05-02,110.473999,113.397003,108.096001,109.780998,1311420.0,99.386497,-0.01699785809694454
2013-05-03,2013-05-03,109.978996,110.945,106.065002,107.204002,352271.0,97.497559,-0.019188917571366204
2013-05-06,2013-05-06,108.492996,108.962997,107.501999,108.516998,122729.0,98.691666,0.012173163391442364
2013-05-07,2013-05-07,109.161003,110.473999,108.146004,108.790001,483284.0,98.939964,0.0025127367582094
2013-05-08,2013-05-08,109.879997,109.879997,104.380997,105.742996,933515.0,96.168839,-0.028407855662936576
2013-05-09,2013-05-09,105.767998,106.362,103.339996,104.603996,693277.0,95.132957,-0.010829925764311632
2013-05-10,2013-05-10,103.638,105.866997,103.638,105.519997,176573.0,95.966019,0.008718699540745334
2013-05-13,2013-05-13,105.124001,106.263,104.058998,105.842003,347433.0,96.258865,0.003046912766583532
2013-05-14,2013-05-14,105.025002,106.412003,105.025002,106.189003,212301.0,96.574448,0.003273119948365988
2013-05-15,2013-05-15,106.436996,108.245003,106.089996,107.873001,434520.0,98.105972,0.01573404860382155
2013-05-16,2013-05-16,107.129997,108.987999,107.129997,108.567001,196823.0,98.737144,0.006412966589469882
2013-05-17,2013-05-17,107.774002,110.696999,107.774002,110.126999,628371.0,100.155891,0.014266674184892025
2013-05-20,2013-05-20,110.473999,110.473999,108.070999,108.542,169273.0,98.714401,-0.014497039564920657
2013-05-21,2013-05-21,108.516998,110.375,108.516998,109.061996,296651.0,99.187332,0.004779461939055985
2013-05-22,2013-05-22,108.492996,109.954002,108.022003,108.516998,2339806.0,98.691666,-0.00500979933897483
