Date,Date.1,MRPL.NS.Open,MRPL.NS.High,MRPL.NS.Low,MRPL.NS.Close,MRPL.NS.Volume,MRPL.NS.Adjusted,log_returns
2013-04-01,2013-04-01,50.650002,51.0,50.0,50.849998,123982.0,46.206299,0.02589786215534451
2013-04-02,2013-04-02,50.5,52.200001,50.400002,51.950001,171384.0,47.205845,0.02140158888507271
2013-04-03,2013-04-03,52.400002,52.900002,49.849998,50.400002,197761.0,45.797394,-0.030290529732404536
2013-04-04,2013-04-04,50.549999,50.599998,49.25,49.5,84359.0,44.979584,-0.018018492004490568
2013-04-05,2013-04-05,49.049999,50.549999,49.049999,49.900002,95678.0,45.343056,0.008048346727160816
2013-04-08,2013-04-08,49.950001,50.450001,49.5,49.799999,53504.0,45.252182,-0.0020061546828333827
2013-04-09,2013-04-09,50.900002,50.900002,49.150002,49.349998,77216.0,44.843277,-0.009077212374640098
2013-04-10,2013-04-10,49.5,49.700001,47.5,48.650002,103022.0,44.207207,-0.01428584751278761
2013-04-11,2013-04-11,49.5,49.599998,48.75,49.099998,59885.0,44.616108,0.00920712965020165
2013-04-12,2013-04-12,48.75,49.900002,48.0,49.400002,104182.0,44.888718,0.006091533946401828
2013-04-15,2013-04-15,49.099998,51.099998,49.099998,49.599998,209005.0,45.07045,0.004040327434325697
2013-04-16,2013-04-16,49.0,50.849998,49.0,49.549999,160637.0,45.025017,-0.0010085524913510113
2013-04-17,2013-04-17,50.0,50.299999,49.049999,49.349998,187308.0,44.843277,-0.004044591026790556
2013-04-18,2013-04-18,49.0,49.849998,48.900002,49.299999,142931.0,44.797848,-0.0010135750502735519
2013-04-22,2013-04-22,50.450001,50.450001,48.799999,48.950001,144408.0,44.479813,-0.007124656756102966
2013-04-23,2013-04-23,49.450001,49.650002,48.5,48.849998,191310.0,44.388939,-0.002045129016187364
2013-04-25,2013-04-25,49.450001,49.450001,48.799999,48.900002,161304.0,44.434376,0.0010230873270891117
2013-04-26,2013-04-26,49.650002,49.650002,47.849998,48.049999,242856.0,43.661999,-0.017535268417907538
2013-04-29,2013-04-29,48.0,48.599998,46.900002,47.349998,233880.0,43.025921,-0.014675387662088648
2013-04-30,2013-04-30,47.599998,48.200001,47.299999,47.450001,158522.0,43.116791,0.002109755581080286
2013-05-02,2013-05-02,47.0,47.549999,46.900002,47.099998,193674.0,42.798752,-0.007403560324666714
2013-05-03,2013-05-03,47.400002,47.549999,46.900002,47.150002,135863.0,42.844193,0.0010611733228982343
2013-05-06,2013-05-06,47.25,47.650002,47.049999,47.450001,146359.0,43.116791,0.006342387001768479
2013-05-07,2013-05-07,47.200001,48.049999,47.200001,47.650002,268699.0,43.298527,0.004206112345267243
2013-05-08,2013-05-08,47.75,47.950001,47.200001,47.349998,156133.0,43.025921,-0.006315867926347529
2013-05-09,2013-05-09,47.700001,47.700001,46.25,46.450001,288401.0,42.208111,-0.01919034166305167
2013-05-10,2013-05-10,46.5,47.0,46.5,46.75,178294.0,42.480717,0.006437848957663307
2013-05-13,2013-05-13,47.049999,47.5,46.200001,46.349998,156918.0,42.117241,-0.00859307352581462
2013-05-14,2013-05-14,46.200001,47.5,46.200001,46.5,218211.0,42.253548,0.0032311448122275266
2013-05-15,2013-05-15,46.5,49.0,46.5,46.900002,855215.0,42.61702,0.008565377391962947
2013-05-16,2013-05-16,47.0,48.099998,46.450001,46.599998,418521.0,42.344414,-0.006417192428753715
2013-05-17,2013-05-17,46.599998,47.099998,46.049999,46.299999,223932.0,42.071812,-0.0064585438250177605
2013-05-20,2013-05-20,46.099998,46.900002,46.0,46.150002,179095.0,41.935513,-0.0032449341672950997
2013-05-21,2013-05-21,46.299999,46.5,44.599998,45.049999,413415.0,40.935963,-0.024124065927155325
2013-05-22,2013-05-22,44.75,45.5,44.25,44.799999,373724.0,40.708794,-0.005564829747352729
2013-05-23,2013-05-23,44.5,44.950001,41.700001,41.849998,454835.0,38.028191,-0.06811638480603133
2013-05-24,2013-05-24,42.0,43.25,40.0,42.549999,1420197.0,38.664265,0.01658803534116915
2013-05-27,2013-05-27,42.5,43.200001,42.049999,42.75,216605.0,38.846001,0.004689348712361596
2013-05-28,2013-05-28,43.5,43.599998,42.799999,43.299999,124633.0,39.345776,0.012783487603362786
2013-05-29,2013-05-29,43.400002,43.950001,43.099998,43.299999,112351.0,39.345776,0.0
2013-05-30,2013-05-30,43.0,45.200001,42.799999,44.450001,190132.0,40.390755,0.02621229739036401
2013-05-31,2013-05-31,44.0,44.450001,43.0,43.25,101062.0,39.300343,-0.027367675573845673
2013-06-03,2013-06-03,43.0,46.400002,42.200001,44.950001,197716.0,40.845097,0.038553543050195316
2013-06-04,2013-06-04,45.0,45.950001,43.799999,45.5,252670.0,41.344868,0.0121615128991035
2013-06-05,2013-06-05,45.0,45.700001,44.599998,45.150002,233753.0,41.026833,-0.007721986470640819
2013-06-06,2013-06-06,44.950001,45.700001,44.349998,44.650002,212814.0,40.572491,-0.011136040668408231
2013-06-07,2013-06-07,44.0,44.799999,43.5,43.799999,78487.0,39.800117,-0.019220423398184302
2013-06-10,2013-06-10,44.0,44.900002,41.950001,42.099998,128156.0,38.25536,-0.039586170810456345
2013-06-11,2013-06-11,42.049999,42.349998,40.700001,40.849998,138190.0,37.119511,-0.030140946834257942
2013-06-12,2013-06-12,40.799999,41.75,40.099998,40.299999,188340.0,36.61974,-0.013555295064074269
2013-06-13,2013-06-13,40.0,41.0,40.0,40.400002,132520.0,36.71060900000001,0.002478347580518125
2013-06-14,2013-06-14,40.950001,41.349998,38.25,39.200001,463717.0,35.620197,-0.03015297840928488
2013-06-17,2013-06-17,39.950001,40.299999,38.650002,39.299999,455205.0,35.71106,0.002547636280828325
2013-06-18,2013-06-18,39.200001,39.75,38.549999,38.700001,189654.0,35.165855,-0.015384861314905685
2013-06-19,2013-06-19,39.0,39.0,38.049999,38.5,161793.0,34.984119,-0.005181367753099853
2013-06-20,2013-06-20,38.0,38.400002,37.25,37.700001,223549.0,34.257175,-0.020998183840268855
2013-06-21,2013-06-21,37.5,38.5,37.349998,37.799999,154310.0,34.348045,0.0026490711097668647
2013-06-24,2013-06-24,37.0,38.099998,36.599998,36.799999,165958.0,33.439365,-0.026811304127575486
2013-06-25,2013-06-25,36.049999,36.799999,35.099998,35.25,205180.0,32.030914,-0.04303229984008672
2013-06-26,2013-06-26,35.799999,35.849998,34.5,34.650002,144291.0,31.48571,-0.017167706854382292
2013-06-27,2013-06-27,34.099998,34.849998,34.0,34.150002,158848.0,31.031370000000006,-0.014535163799828775
2013-06-28,2013-06-28,35.0,36.5,35.0,36.0,922672.0,32.712425,0.05275634684461394
2013-07-01,2013-07-01,36.099998,37.849998,36.099998,37.700001,157567.0,34.257175,0.046141056667492464
2013-07-02,2013-07-02,38.900002,38.900002,37.549999,37.75,170446.0,34.302612,0.0013254710564445382
2013-07-03,2013-07-03,37.75,37.799999,36.25,36.5,94970.0,33.166759000000006,-0.033673363463845966
2013-07-04,2013-07-04,37.25,37.25,36.299999,36.900002,100616.0,33.530235,0.010899429690387041
2013-07-05,2013-07-05,37.849998,39.0,37.150002,37.5,234898.0,34.075439,0.016129291742620566
2013-07-08,2013-07-08,37.049999,42.799999,36.549999,37.450001,2740039.0,34.03001,-0.0013340784740369926
2013-07-09,2013-07-09,37.950001,38.900002,37.450001,37.75,367285.0,34.302612,0.007978720504875358
2013-07-10,2013-07-10,38.5,38.5,36.049999,36.349998,511646.0,33.03046,-0.03779133683701152
2013-07-11,2013-07-11,37.0,37.5,36.099998,36.700001,177907.0,33.348499,0.00958259781351778
2013-07-12,2013-07-12,37.099998,37.299999,36.5,36.849998,188930.0,33.484802,0.004078900396602414
2013-07-15,2013-07-15,36.150002,37.25,36.150002,36.900002,131559.0,33.530235,0.0013559048534323992
2013-07-16,2013-07-16,36.299999,37.0,34.799999,34.900002,498047.0,31.712879,-0.05572469312518757
2013-07-17,2013-07-17,35.0,36.700001,34.299999,34.450001,656980.0,31.303974,-0.012977821634377662
2013-07-18,2013-07-18,34.299999,35.400002,34.299999,35.099998,161340.0,31.894611,0.01869200700755336
2013-07-19,2013-07-19,35.450001,35.900002,34.950001,35.25,164393.0,32.030914,0.004264437611130933
2013-07-22,2013-07-22,35.099998,36.5,34.049999,35.799999,225541.0,32.530685,0.015482298787285576
2013-07-23,2013-07-23,36.400002,36.400002,35.099998,36.0,130153.0,32.712425,0.0055711774031173
2013-07-24,2013-07-24,36.599998,36.599998,35.400002,35.900002,336597.0,32.621555,-0.0027817089543691327
2013-07-25,2013-07-25,36.0,36.0,35.200001,35.950001,271835.0,32.666988,0.0013917604910753667
2013-07-26,2013-07-26,36.0,36.400002,34.75,35.849998,238368.0,32.576122,-0.0027854606793225045
2013-07-29,2013-07-29,35.150002,35.799999,33.900002,34.0,127773.0,30.895065,-0.05298310359841585
2013-07-30,2013-07-30,34.0,34.5,33.049999,33.349998,110617.0,30.304424,-0.0193027539529802
2013-07-31,2013-07-31,34.0,34.0,31.799999,32.549999,113741.0,29.577482,-0.02428037988326581
2013-08-01,2013-08-01,33.450001,35.099998,32.200001,32.450001,244626.0,29.486614000000007,-0.0030769309223348533
2013-08-02,2013-08-02,34.0,34.0,31.6,32.150002,158877.0,29.214012,-0.009287940461958577
2013-08-05,2013-08-05,31.5,32.299999,27.9,28.75,401936.0,26.124504,-0.1117747327316856
2013-08-06,2013-08-06,29.0,30.0,28.5,29.15,263104.0,26.487976,0.01381716971504865
2013-08-07,2013-08-07,29.049999,29.9,29.049999,29.700001,195044.0,26.987749,0.01869212811824772
2013-08-08,2013-08-08,30.450001,31.0,29.6,30.0,268353.0,27.260353,0.010050353268811207
2013-08-12,2013-08-12,30.200001,31.0,30.200001,30.9,244031.0,28.078163,0.029558781228773867
2013-08-13,2013-08-13,31.1,31.15,30.15,30.4,161937.0,27.623825,-0.016313531793021863
2013-08-14,2013-08-14,31.15,31.15,28.9,29.9,854654.0,27.169485,-0.016584156467539746
2013-08-16,2013-08-16,29.9,30.049999,26.299999,27.450001,879795.0,24.943224,-0.08549226638332375
2013-08-19,2013-08-19,27.4,27.450001,26.6,27.200001,280922.0,24.716053,-0.009149250589445934
2013-08-20,2013-08-20,27.950001,29.200001,26.9,28.549999,222528.0,25.94277,0.048440006519038466
2013-08-21,2013-08-21,29.5,30.15,28.950001,29.549999,549594.0,26.851446000000006,0.034426716177961225
2013-08-22,2013-08-22,29.65,30.0,29.1,29.549999,298785.0,26.851446000000006,0.0
2013-08-23,2013-08-23,29.299999,30.450001,29.299999,30.0,318490.0,27.260353,0.015113701307557738
2013-08-26,2013-08-26,30.200001,30.549999,29.75,30.4,143363.0,27.623825,0.013245249435752005
2013-08-27,2013-08-27,30.200001,30.450001,28.9,29.450001,488775.0,26.760582,-0.03174864109422382
2013-08-28,2013-08-28,29.4,29.85,28.15,29.1,508132.0,26.442541,-0.011955869149401277
2013-08-29,2013-08-29,29.450001,30.299999,29.25,29.799999,672104.0,27.078617,0.02377026108583058
2013-08-30,2013-08-30,30.299999,33.400002,28.65,30.799999,956926.0,27.987295,0.03300628136064398
2013-09-02,2013-09-02,30.200001,31.9,30.200001,31.35,201160.0,28.487070000000006,0.017699642918738157
2013-09-03,2013-09-03,31.700001,31.700001,30.549999,30.9,134217.0,28.078163,-0.014458143328565763
2013-09-04,2013-09-04,31.0,31.0,30.1,30.65,107234.0,27.850994,-0.008123499850444027
2013-09-05,2013-09-05,30.799999,31.5,30.799999,30.950001,137991.0,28.123598,0.009740353453948192
2013-09-06,2013-09-06,31.4,32.25,30.85,31.6,503127.0,28.714239000000006,0.020784121743569358
2013-09-10,2013-09-10,31.9,32.5,31.0,31.35,316031.0,28.487070000000006,-0.007942832018507762
2013-09-11,2013-09-11,31.049999,32.5,31.0,32.0,212154.0,29.077709,0.02052156677504113
2013-09-12,2013-09-12,32.5,33.5,32.0,32.200001,228483.0,29.259447,0.0062306289985483146
2013-09-13,2013-09-13,32.049999,33.400002,32.049999,32.900002,231323.0,29.895521,0.02150617395264787
2013-09-16,2013-09-16,33.5,34.0,32.900002,33.0,196163.0,29.986387,0.003034842167743079
2013-09-17,2013-09-17,33.75,34.900002,33.0,34.650002,520631.0,31.48571,0.04879028009504438
2013-09-18,2013-09-18,35.25,35.650002,34.549999,34.799999,1241351.0,31.622009,0.004319573392607801
2013-09-19,2013-09-19,35.950001,35.950001,34.799999,35.150002,420037.0,31.94005,0.010007342720939949
2013-09-20,2013-09-20,35.200001,35.450001,33.900002,34.349998,721236.0,31.2131,-0.02302282973202008
2013-09-23,2013-09-23,34.0,34.849998,33.400002,34.0,155052.0,30.895065,-0.010241416077774623
2013-09-24,2013-09-24,33.700001,34.599998,33.5,34.099998,1675316.0,30.985931,0.002936800348474655
2013-09-25,2013-09-25,34.0,34.099998,33.299999,33.599998,172508.0,30.531593,-0.014771279188568354
2013-09-26,2013-09-26,33.25,33.799999,33.049999,33.200001,123944.0,30.168125,-0.011976080160199576
2013-09-27,2013-09-27,33.25,33.900002,33.0,33.200001,225144.0,30.168125,0.0
2013-09-30,2013-09-30,33.799999,33.799999,33.099998,33.5,202273.0,30.440727000000006,0.00899551234616558
2013-10-01,2013-10-01,33.349998,33.75,32.900002,33.200001,561639.0,30.168125,-0.00899551234616558
2013-10-03,2013-10-03,33.849998,33.849998,33.400002,33.650002,99505.0,30.57703,0.01346317007133768
2013-10-04,2013-10-04,33.5,33.650002,33.299999,33.5,69283.0,30.440727000000006,-0.004467657725172103
2013-10-07,2013-10-07,33.25,33.849998,33.200001,33.349998,86824.0,30.304424,-0.004487707298852507
2013-10-08,2013-10-08,33.400002,34.049999,33.299999,33.549999,225612.0,30.48616,0.0059791016785202275
2013-10-09,2013-10-09,33.099998,33.799999,33.099998,33.5,66350.0,30.440727000000006,-0.0014913943796677211
2013-10-10,2013-10-10,33.5,34.150002,33.5,33.700001,100849.0,30.622465,0.005952474171695865
2013-10-11,2013-10-11,33.849998,34.400002,33.599998,33.799999,137817.0,30.713329,0.0029628398213992213
2013-10-14,2013-10-14,34.299999,36.599998,34.099998,36.299999,644836.0,32.985027,0.07135700147838264
2013-10-15,2013-10-15,36.5,36.950001,36.049999,36.599998,361150.0,33.257629,0.008230453164339123
2013-10-17,2013-10-17,36.549999,37.450001,36.099998,37.0,244675.0,33.621101,0.010869691415595906
2013-10-18,2013-10-18,37.200001,38.599998,36.900002,38.099998,445023.0,34.620647,0.02929636238440558
2013-10-21,2013-10-21,38.099998,40.0,37.950001,39.650002,376821.0,36.029102,0.039876762581958484
2013-10-22,2013-10-22,40.450001,43.5,40.25,41.75,1808002.0,37.937325,0.05160845518430879
2013-10-23,2013-10-23,41.950001,41.950001,39.700001,40.349998,362424.0,36.665173,-0.03410811602807362
2013-10-24,2013-10-24,40.5,41.25,39.25,39.549999,258783.0,35.938232,-0.020025652885139245
2013-10-25,2013-10-25,39.599998,39.700001,38.75,38.950001,139769.0,35.393024,-0.015286948472242656
2013-10-28,2013-10-28,38.5,39.849998,38.5,39.549999,330152.0,35.938232,0.015286948472242656
2013-10-29,2013-10-29,39.5,42.0,38.799999,41.25,829816.0,37.482986,0.04208543630790373
2013-10-30,2013-10-30,41.0,41.0,39.5,39.799999,233806.0,36.165401,-0.035784235045339674
2013-10-31,2013-10-31,39.5,40.599998,39.5,40.25,184324.0,36.574306,0.011243083708318393
2013-11-01,2013-11-01,40.25,40.549999,39.75,40.049999,159382.0,36.39257,-0.004981339088592661
2013-11-05,2013-11-05,40.099998,40.900002,39.650002,39.900002,677635.0,36.25627100000001,-0.003752273485521318
2013-11-06,2013-11-06,40.0,40.900002,40.0,40.400002,315421.0,36.71060900000001,0.012453427413742002
2013-11-07,2013-11-07,40.5,43.200001,39.900002,42.200001,891992.0,38.34623,0.04359043103996507
2013-11-08,2013-11-08,42.049999,43.0,41.049999,41.650002,422437.0,37.846455,-0.013118901580072784
2013-11-11,2013-11-11,41.400002,41.450001,39.450001,39.950001,148846.0,36.301704,-0.04167263399836818
2013-11-12,2013-11-12,40.0,40.200001,39.0,39.150002,112203.0,35.57476,-0.020228284675269048
2013-11-13,2013-11-13,39.099998,39.099998,38.099998,38.25,125898.0,34.75695,-0.02325684562908048
2013-11-14,2013-11-14,38.200001,39.5,38.099998,38.5,90452.0,34.984119,0.006514663646363328
2013-11-18,2013-11-18,38.549999,41.799999,38.549999,41.5,389016.0,37.710155,0.07503520591755386
2013-11-19,2013-11-19,42.0,44.0,41.75,43.650002,1436407.0,39.663815,0.05050988952546831
2013-11-20,2013-11-20,43.950001,44.900002,40.650002,42.099998,504392.0,38.25536,-0.036155629928745985
2013-11-21,2013-11-21,42.0,42.650002,40.799999,41.049999,194272.0,37.301247,-0.025256923447773083
2013-11-22,2013-11-22,41.75,42.5,39.549999,40.400002,188452.0,36.71060900000001,-0.015960970870041002
2013-11-25,2013-11-25,43.5,44.5,42.5,42.849998,1523282.0,38.936867,0.058875752737405314
2013-11-26,2013-11-26,43.25,43.349998,42.0,42.400002,430165.0,38.527966,-0.01055717238281506
