Date,Date.1,HINDPETRO.NS.Open,HINDPETRO.NS.High,HINDPETRO.NS.Low,HINDPETRO.NS.Close,HINDPETRO.NS.Volume,HINDPETRO.NS.Adjusted,log_returns
2013-04-01,2013-04-01,63.077801,63.444401,62.388901,62.888901,1189426.0,26.570822,-0.007743954211782532
2013-04-02,2013-04-02,62.888901,64.111099,62.4333,63.555599,1640745.0,26.852503,0.010545341771163395
2013-04-03,2013-04-03,62.888901,64.0,62.455601,62.855598,2600276.0,26.556749,-0.011075123203450056
2013-04-04,2013-04-04,62.788898,63.3778,62.0,62.111099,1900080.0,26.242197,-0.011915227302936593
2013-04-05,2013-04-05,62.111099,63.322201,62.0,63.133301,2715188.0,26.67408,0.016323619665818526
2013-04-08,2013-04-08,63.333302,64.933296,63.177799,64.488899,2950024.0,27.246824,0.02124465648707297
2013-04-09,2013-04-09,64.888901,66.28890200000001,63.9333,64.47779799999999,6629224.0,27.242140000000006,-0.00017192472264815348
2013-04-10,2013-04-10,64.888901,65.655602,64.066704,64.988899,2642913.0,27.458076,0.007895293199871922
2013-04-11,2013-04-11,65.166702,65.733299,64.455597,64.666702,1243791.0,27.321953000000004,-0.004969814096872138
2013-04-12,2013-04-12,64.888901,66.47779799999999,64.666702,66.066704,2740298.0,27.913458,0.021418419879477568
2013-04-15,2013-04-15,66.666702,70.333298,66.666702,69.333298,9045896.0,29.293608000000006,0.04826039710890129
2013-04-16,2013-04-16,69.577797,70.833298,69.27780200000001,70.033302,4696110.0,29.589357,0.010045400634980606
2013-04-17,2013-04-17,70.22219799999999,70.22219799999999,67.97779799999999,68.400002,3535578.0,28.899288,-0.023597777725018254
2013-04-18,2013-04-18,69.144402,70.511101,69.099998,70.111099,4372412.0,29.622231,0.024708168595728
2013-04-22,2013-04-22,70.888901,71.577797,69.2444,70.52220200000002,3196966.0,29.795923,0.005846445338769435
2013-04-23,2013-04-23,70.22219799999999,70.344398,68.47779799999999,69.644402,1472409.0,29.425043,-0.012525457583526745
2013-04-25,2013-04-25,69.72219799999999,69.933296,68.2444,68.8778,4559301.0,29.101152000000006,-0.011068353464925185
2013-04-26,2013-04-26,68.8778,70.22219799999999,68.366699,68.644402,1883412.0,29.002548,-0.003394072826949479
