Date,Date.1,ICICIBANK.NS.Open,ICICIBANK.NS.High,ICICIBANK.NS.Low,ICICIBANK.NS.Close,ICICIBANK.NS.Volume,ICICIBANK.NS.Adjusted,log_returns
2013-05-03,2013-05-03,212.300003,212.727005,203.981995,205.445007,21828450.0,147.226898,-0.03628280892709768
2013-05-06,2013-05-06,205.0,208.908997,201.682007,207.755005,13608062.0,148.882324,0.011181301519554765
2013-05-07,2013-05-07,207.817993,213.091003,207.636002,211.626999,16100205.0,151.65708899999996,0.018465756738960337
2013-05-08,2013-05-08,212.727005,213.781998,208.291,210.535995,13112506.0,150.87524399999995,-0.005168682189084173
2013-05-09,2013-05-09,210.90899700000003,211.845001,207.964005,209.572998,8672928.0,150.185135,-0.004584530259431396
2013-05-10,2013-05-10,209.636002,212.709,209.154999,211.882004,10691846.0,151.839844,0.010957541074064991
2013-05-13,2013-05-13,211.091003,213.90899700000003,208.227005,208.873001,10484056.0,149.683517,-0.014303128980881931
2013-05-14,2013-05-14,209.636002,212.100006,207.617996,208.626999,11398414.0,149.507217,-0.0011785125698793306
2013-05-15,2013-05-15,209.626999,217.964005,209.455002,216.591003,19773430.0,155.214401,0.037462727479782736
2013-05-16,2013-05-16,215.455002,221.636002,215.417999,219.544998,16552888.0,157.331314,0.013546468696465476
2013-05-17,2013-05-17,219.108994,224.891006,218.735992,223.718002,15429497.0,160.321793,0.018829139626879158
2013-05-20,2013-05-20,223.445007,224.436005,218.835999,219.964005,15072866.0,157.631577,-0.016922482687009573
2013-05-21,2013-05-21,219.964005,224.764008,218.582001,220.182007,13731075.0,157.787811,0.0009906430531589905
2013-05-22,2013-05-22,220.90899700000003,223.091003,218.990997,220.018005,14560750.0,157.670288,-0.0007450942347624334
2013-05-23,2013-05-23,218.182007,219.345001,211.31799300000003,213.145004,18462532.0,152.744934,-0.03173663564864082
2013-05-24,2013-05-24,215.709,220.126999,214.126999,218.936005,14107000.0,156.894897,0.026806703110557883
2013-05-27,2013-05-27,218.90899700000003,222.727005,217.235992,221.709,13687630.0,158.882095,0.01258625095279342
2013-05-28,2013-05-28,222.455002,225.164001,221.800003,223.990997,14966160.0,160.517441,0.010240217070649038
2013-05-29,2013-05-29,223.636002,224.091003,219.65499900000003,220.891006,11424242.0,158.295898,-0.013936549605471528
2013-05-30,2013-05-30,217.272995,217.718002,213.136002,215.054993,23897704.0,169.45668,0.0681312652068824
2013-05-31,2013-05-31,214.727005,216.145004,208.727005,209.899994,18191398.0,165.394714,-0.02426249574300421
2013-06-03,2013-06-03,209.091003,210.544998,206.300003,208.209,13596193.0,164.062241,-0.008088949073318473
2013-06-04,2013-06-04,209.091003,212.026993,206.309006,206.945007,12805568.0,163.066269,-0.006089197651484746
