Date,Date.1,CESC.NS.Open,CESC.NS.High,CESC.NS.Low,CESC.NS.Close,CESC.NS.Volume,CESC.NS.Adjusted,log_returns
2013-04-01,2013-04-01,266.049988,274.100006,265.049988,272.700012,106433.0,248.513062,0.029208530620167924
2013-04-02,2013-04-02,272.149994,281.0,272.149994,279.649994,167552.0,254.846649,0.02516658025291907
2013-04-03,2013-04-03,277.100006,286.5,273.100006,275.299988,157340.0,250.882492,-0.015677317640053978
2013-04-04,2013-04-04,273.0,275.899994,268.549988,270.149994,105275.0,246.189224,-0.018884226649232616
2013-04-05,2013-04-05,272.950012,279.899994,266.549988,277.850006,104714.0,253.20629900000003,0.028104124028528688
2013-04-08,2013-04-08,280.700012,282.0,277.200012,279.149994,145718.0,254.391006,0.004667909539701753
2013-04-09,2013-04-09,283.0,283.0,269.200012,270.799988,88432.0,246.781586,-0.030368798840799908
2013-04-10,2013-04-10,270.799988,273.600006,265.549988,269.950012,464457.0,246.007004,-0.0031436711548513685
2013-04-11,2013-04-11,270.5,275.600006,267.0,270.149994,347458.0,246.189224,0.0007404364274208318
2013-04-12,2013-04-12,272.299988,276.899994,267.799988,275.5,141363.0,251.064758,0.01961046235631514
2013-04-15,2013-04-15,273.0,279.0,270.149994,273.5,157847.0,249.242111,-0.007286148467319897
2013-04-16,2013-04-16,272.0,292.950012,272.0,290.450012,371748.0,264.688751,0.06012985377523439
2013-04-17,2013-04-17,292.100006,295.899994,281.75,282.350006,330364.0,257.30719,-0.02828394823194902
2013-04-18,2013-04-18,278.0,286.75,278.0,283.5,117028.0,258.355194,0.0040646961090144975
2013-04-22,2013-04-22,283.600006,284.899994,278.0,283.149994,152085.0,258.036194,-0.0012354971364407776
2013-04-23,2013-04-23,280.75,290.0,278.649994,287.950012,261200.0,262.410492,0.016810179122615843
2013-04-25,2013-04-25,287.799988,308.850006,287.799988,297.399994,1186572.0,271.022308,0.0322910938083254
2013-04-26,2013-04-26,298.0,299.399994,289.450012,290.799988,110073.0,265.00769,-0.022442290401880168
2013-04-29,2013-04-29,290.799988,297.0,289.049988,293.950012,216393.0,267.878326,0.010774025522469977
2013-04-30,2013-04-30,295.649994,298.0,284.149994,285.799988,709181.0,260.45117200000004,-0.0281174658704888
2013-05-02,2013-05-02,288.299988,298.0,287.0,293.950012,199088.0,267.878326,0.0281174658704888
2013-05-03,2013-05-03,294.0,301.0,286.25,296.600006,253415.0,270.293274,0.008974699554406662
